stationCode,Cluster
8054,3
11026,0
21022,3
15105,3
8027,3
3007,1
14117,2
14002,2
11031,0
19202,0
15058,3
31020,1
17009,2
16015,3
14012,3
12128,3
12102,2
21003,2
43402,2
3201,1
13121,1
42503,3
11001,0
35019,0
6012,0
15031,0
4108,3
6013,2
18005,0
21508,0
47002,1
14134,0
18011,3
4013,1
15122,0
11107,1
13051,3
23006,1
15023,0
13101,2
10165,2
19114,0
9004,3
10011,1
18012,0
5002,3
17126,3
20043,0
15056,1
1006,1
16124,0
23002,3
44004,1
21010,0
26002,0
14036,0
20007,2
13041,2
12016,0
20140,1
17039,0
5015,3
44012,0
4003,0
31005,0
16044,2
12043,2
16007,0
10018,0
11104,3
20132,3
18138,1
42016,0
15203,0
13016,1
17041,3
19024,0
51007,0
2006,3
22007,1
2003,3
13005,3
7003,2
7015,2
13516,0
13037,0
15201,0
9022,3
10110,3
35003,3
32016,2
16037,1
19039,0
31103,0
17104,0
6022,0
30004,1
9115,3
12127,3
22101,1
17016,0
31703,3
14031,0
15050,1
11103,3
31007,3
8020,0
2012,3
2017,3
13050,3
19121,0
8102,3
19012,0
3006,1
15063,1
14022,0
21329,1
32012,3
22601,2
16123,0
32011,2
14110,3
25001,3
13001,0
19029,0
20015,0
13049,3
15036,1
4010,1
20040,0
31303,0
18033,0
26009,1
18201,0
12120,3
32018,0
16024,1
25003,1
33003,3
13109,3
4001,0
12114,3
5014,3
21315,3
19108,3
28005,3
14027,0
19040,0
21313,3
8010,3
19123,0
34005,0
16103,0
23101,0
17013,3
13013,1
48007,3
9029,1
1017,2
13114,3
20002,0
20104,0
6002,1
20118,3
12101,2
16012,3
19046,3
10037,0
9017,0
10006,0
44006,2
6103,0
20117,3
48003,0
22005,3
2102,3
17015,3
18113,0
10151,2
15034,1
7013,1
48012,0
31705,0
14010,0
5016,0
21033,3
19026,3
21027,3
23007,1
13009,3
4014,1
14020,0
14019,0
31022,1
31025,2
5004,3
45001,3
21307,3
41212,0
4016,1
9007,3
20202,0
21009,1
20009,0
17020,3
12013,1
15052,1
21706,3
21105,0
17043,0
20003,1
18039,0
1015,1
41301,3
20004,0
44001,0
19201,0
13123,1
15113,0
45004,3
20131,0
8016,3
21031,1
9038,0
12022,3
15102,1
42706,3
8009,2
13039,2
42010,1
12125,0
22209,0
42304,1
16115,0
41210,0
42504,1
19033,3
6021,3
8004,1
3011,1
20024,0
12040,2
12123,2
7024,1
31102,0
11022,1
32303,0
35001,1
8117,1
18041,0
6027,2
20016,3
10163,2
11036,3
21708,3
15011,3
21703,0
7011,3
13054,1
16005,0
16018,3
47001,1
14131,0
22303,3
21028,1
16116,0
31702,0
17111,2
20017,3
7016,3
7008,3
11024,1
16001,3
20013,3
20109,3
16111,3
15008,0
2109,3
14025,0
9106,1
12037,1
1102,3
13008,0
12009,2
15103,2
15014,0
8007,0
7017,3
19102,0
9039,0
21030,1
13006,1
8549,3
34013,0
46002,1
21953,3
20029,0
13022,0
10042,0
19008,0
23701,2
20037,0
20136,0
23703,1
21702,0
19006,0
10014,3
21204,0
21008,1
15003,2
20045,2
18139,0
12010,2
15021,3
11032,0
31028,3
20142,0
11102,1
43007,1
35007,1
14138,0
15061,1
92006,3
9013,3
16033,2
17008,3
20048,0
19036,3
12155,3
13048,0
21209,0
31012,3
8044,3
21110,0
44011,0
14106,3
6108,2
13043,0
51001,2
19031,3
10021,2
13113,3
16034,0
19003,0
12115,1
18016,0
21301,1
8034,3
41209,2
1018,1
21111,3
18009,0
34009,2
23202,3
20019,0
17029,2
15040,0
16040,3
20035,0
43401,0
18042,0
17123,2
15129,3
11004,1
18141,0
10166,0
41404,1
5116,2
14125,3
31013,0
48002,3
21104,1
22504,3
15107,0
21514,0
12034,3
14201,3
16039,1
16016,0
23301,1
22502,3
16139,0
21203,3
42701,3
11043,1
25006,2
11023,1
18101,3
17121,0
9010,3
21118,0
4103,0
8011,0
33005,1
22603,3
32302,3
11027,3
1024,0
8018,3
5115,2
13015,3
18044,0
21207,2
31709,0
20011,3
21316,3
11029,0
21219,0
19019,0
18046,3
13102,3
21507,3
15032,2
1016,1
4015,0
12122,0
21311,1
15067,1
33009,2
4006,2
33019,3
8003,1
7010,3
43003,3
31003,0
6014,1
12161,1
16129,2
42021,3
4101,1
6032,0
22507,2
7014,3
35012,0
2009,3
33104,0
22206,1
12032,0
22602,3
13002,3
15029,3
5110,3
23102,2
21312,3
22306,3
1001,1
42024,1
13033,0
31023,0
22006,3
23106,3
4007,1
5107,0
12018,2
5026,3
19115,0
17040,0
12165,0
19111,0
4104,0
20022,0
46003,2
11115,1
28001,3
31101,2
21013,1
12113,2
27001,0
26003,0
46001,2
21218,3
31010,3
20044,3
24007,2
14021,0
41602,3
13053,1
21213,3
22403,3
15104,3
30005,1
14014,0
10012,0
43004,2
8025,3
8002,2
17018,0
32023,2
42003,1
42707,3
20115,0
4005,1
41206,3
14034,0
17005,0
22506,3
27005,0
15009,3
15055,2
10033,2
20020,3
5020,1
17119,3
5022,3
5018,3
15042,3
9011,0
1014,0
12017,3
16110,3
16042,2
42019,0
33001,3
18142,3
41401,0
32010,3
14113,1
11030,0
42015,3
21310,1
31021,0
42027,0
42205,0
6004,0
8036,3
18021,3
21309,2
35021,3
19129,0
42011,1
15133,3
31105,3
16002,0
19038,3
10029,0
16013,3
17011,1
14136,3
11101,2
4019,0
21007,3
14007,3
35009,3
18135,0
15053,3
18043,0
15033,0
10019,3
7109,3
18006,0
16104,0
47005,2
34002,0
42018,0
32603,0
44103,0
48010,2
32017,3
23105,1
15069,1
14124,0
16118,3
3001,1
13021,3
12008,2
7012,3
9014,3
19001,2
8012,0
10024,0
21019,3
3009,1
17107,3
22016,0
7025,1
12007,2
19027,0
21701,0
10003,0
25004,0
21107,3
12163,0
16043,3
21319,3
19014,3
17024,3
14009,0
20023,0
16022,0
25007,0
45003,0
15132,3
14133,2
22604,3
9031,1
21026,1
4018,0
20103,3
11021,0
47004,2
18004,3
41403,1
8046,0
5123,0
35004,3
41202,2
5019,0
14108,0
11113,3
23008,0
23003,1
33014,0
15127,1
30007,3
16026,0
12002,1
17105,3
12020,3
18034,0
19124,0
15311,3
6016,1
6030,0
6031,1
31018,0
35006,1
12004,1
35014,0
9027,0
9114,0
13116,3
41102,3
92005,1
8056,0
6005,2
92003,0
25002,2
2004,1
14018,0
17026,0
11019,0
19119,3
22201,0
17019,3
21108,1
13010,0
43008,0
9104,1
24010,3
9021,0
2002,1
8028,0
21017,1
26004,1
32013,1
44014,0
21954,0
19021,0
8053,3
12036,0
9116,3
21502,1
24002,3
16102,0
12129,0
8051,3
8017,3
26008,0
15039,0
17004,3
15072,2
44005,0
48008,0
16023,0
16003,3
10009,0
15018,3
35008,3
18134,3
16030,2
18028,3
1119,0
23302,2
32014,1
5119,3
13055,3
18010,0
9118,0
21112,3
